ASSEST_ATTACHED_AGENT_ID (group),Day of D.DTS,LEAD_CHANNEL,Measure Names,Yard Region ,Measure Values
,"April 10, 2026",D2C,        AOD: PMAX_DM,AMD,
,"April 10, 2026",D2C,AOD Disbursed ,AMD,
,"April 10, 2026",D2C,AOD Internal Disbursed,AMD,0
,"April 10, 2026",D2C,AOD  PMAX Disbursal,AMD,0
,"April 10, 2026",D2C,AOD Lead Created 2 Basic Details Submitted,AMD,0.235294118
,"April 10, 2026",D2C,        AOD Lead Created 2 Assisted Basic Details Submitted ,AMD,0.117647059
,"April 10, 2026",D2C,        AOD Lead Created 2 Unassisted Basic Details Submitted ,AMD,0.117647059
,"April 10, 2026",D2C,AOD PA% on BD Fill DT,AMD,0
,"April 10, 2026",D2C,AOD BL% of Asset Attached and FF (on Asset Attached DT),AMD,
,"April 10, 2026",D2C,AOD Banking Req (on BD Fill DT) 2 Login,AMD,
,"April 10, 2026",D2C,AOD : Assisted Form 1 Filled,AMD,
,"April 10, 2026",D2C,AOD : Unassisted Form 1 Filled ,AMD,
,"April 10, 2026",D2C,AOD Basic Details Filled 2 Banking,AMD,
,"April 10, 2026",D2C,AOD Basic Details Filled 2 Login,AMD,
,"April 10, 2026",D2C,AOD : Login 2 CA,AMD,
,"April 10, 2026",D2C,AOD : CA 2 CApp ,AMD,
,"April 10, 2026",D2C,AOD : Capp to TNC Accptd Ever,AMD,
,"April 10, 2026",D2C,        AOD: TNC Accptd Ever to Doc Upload,AMD,
,"April 10, 2026",D2C,        AOD: TNC Accptd Ever to FCU,AMD,
,"April 10, 2026",D2C,        AOD: TNC Accptd Ever to RCU ,AMD,
,"April 10, 2026",D2C,        AOD: TNC Accptd Ever to DM,AMD,
,"April 10, 2026",D2C,AOD:  DM To Internal Disbursed,AMD,
,"April 10, 2026",D2C,Funl : TNC Accptd Ever to DM,AMD,
,"April 10, 2026",D2C,AOD: TNC Accptd Ever to Int Disbursal,AMD,
,"April 10, 2026",D2C,AOD: Capp Credit Approved to Int Disbursal,AMD,
,"April 10, 2026",D2C,AOD: Capp TNC Accepted to Int Disbursal,AMD,
,"April 10, 2026",D2C,      AOD: Avg ALP on TNC,AMD,
,"April 11, 2026",D2C,AOD Login Done,AMD,
,"April 11, 2026",D2C,AOD Credit Assessed,AMD,
,"April 11, 2026",D2C,AOD Credit Approved,AMD,
,"April 11, 2026",D2C,        AOD TNC Accptd Net,AMD,
,"April 11, 2026",D2C,AOD TNC Accepted,AMD,
,"April 11, 2026",D2C,         AOD: DOC Upload,AMD,
,"April 11, 2026",D2C,        AOD: FCU_CHECKS,AMD,
,"April 11, 2026",D2C,        AOD: RCU_CHECKS,AMD,
,"April 11, 2026",D2C,        AOD: DM,AMD,
,"April 11, 2026",D2C,        AOD: PMAX_DM,AMD,
,"April 11, 2026",D2C,AOD Disbursed ,AMD,
,"April 11, 2026",D2C,AOD Internal Disbursed,AMD,0
,"April 11, 2026",D2C,AOD  PMAX Disbursal,AMD,0
,"April 11, 2026",D2C,AOD Lead Created 2 Basic Details Submitted,AMD,0.157894737
,"April 11, 2026",D2C,        AOD Lead Created 2 Assisted Basic Details Submitted ,AMD,0
,"April 11, 2026",D2C,        AOD Lead Created 2 Unassisted Basic Details Submitted ,AMD,0.105263158
,"April 11, 2026",D2C,AOD PA% on BD Fill DT,AMD,0
,"April 11, 2026",D2C,AOD BL% of Asset Attached and FF (on Asset Attached DT),AMD,
,"April 11, 2026",D2C,AOD Banking Req (on BD Fill DT) 2 Login,AMD,
